bno,title,name,cno,allerinfo,cdate,ingredients,content,types,meterials,image
65,"노오븐 브라우니 만들기 (따뜻한 겨울 간식,초간단)",-,-,"밀, 우유",2019-01-21T17:53:14+09:00,"밀가루 1/4컵 (약 18g),설탕 1/4컵 (약 18g),코코아파우더 or 제티 2스푼 (밥숟가락 기준),식용유 2스푼 (밥숟가락 기준),우유 1/4컵,슈가파우더 (선택사항) 적당량","'컵에 준비한 밀가루를 넣어주세요 (체를 쳐서 넣으면 더 섞기가 쉬워요^^)', '준비 된 설탕도 넣습니다 (단걸 좋아하신다면 원래 레시피에서 설탕 2~3스푼정도를 추가하셔도 될것 같아요!!)', '코코아파우더나 제티 (핫초코 가루)도 2스푼 넣어주세요  (밀가루와 마찬가지로 체를 치면 더 편하겠죠?)', '이제 식용유를 2스푼 넣습니다 (녹인버터를 사용하셔도 되요!!)', '준비된 우유를 넣고 잘 섞어주세요', '이제 전자레인지에 넣고 1분간 돌린 후, 10초씩 3번 돌려주세요 (총 1분 30초)', '마지막으로 데코용 슈가파우더를 뿌려주시면 완성입니다!! 슈가파우더는 꼭 뿌리지 않으셔도 되요^^', '맛있게 드시면 됩니다♥ 따뜻할때 우유랑 드시면 정말 맛있어요~'",디저트,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/e06f88767a9002285e5f9239031873381.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/e76d18c209df8c53f57a5940ef6eb8981.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/5a3b9c01dd230a3bd28b3ba707fcc4a91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/2176ff375c5d8ac5aa002984335a588e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/446474245331fdb9cf0543c15c04132d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/2e232426396046681d3c9221a9012f521.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/e5381198b88caae1af26800a6a5d73781.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/4b0066bf0bb576d1f584ad77864f2e481.jpg'"
66,여보야~ 샌드위치 해주라. 응? 구혜선샌드위치,-,-,"밀, 우유, 달걀, 토마토",2017-03-23T09:14:42+09:00,"식빵 4장,양파 1/4개,양배추 40g,버터 1/2T,딸기잼 2T,다진마늘 4T,마요네즈 4T,케찹 약간","'양파, 양배추는 채 썰어 준비하고 채 썬 양파는 찬물에 담가 놓는다.', '팬에 기름을 두르고 다진 마늘을 볶는다.', '볼에 볶은 다진 마늘과, 마요네즈를 넣고 섞어 마늘소스를 만든다.', '예열된 팬에 버터를 넣고 식빵을 구워 낸다.', '구운 식빵에 딸기잼을 바른 후 채 썬 양배추와, 양파를 올리고 마늘소스를 바른 후 케찹을 뿌려 샌드위치를 완성한다.'",빵,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/23/bf0ac8481b2454717f087ff62d074ae41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/23/35c179238e5fef727e39f33edad2fd3a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/23/bfb25736119b45f4451b447e5e668ab51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/23/31a3e5a8e203d9ee6db9528b36b64b621.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/23/65c3fc1d1783097ef8610dfe23c369cf1.jpg'"
67,집밥 백종원 카레우동 # 초간단 5분이면 완성.,-,-,"우유, 밀, 땅콩",2017-02-19T13:22:10+09:00,"우유 2컵,카레가루 3T,우동사리 1봉,양파(옵션) 1/4개","'냄비에 우유 2컵(500ml 짜리 하나 가능) 을 붓고', '카레가루 3T 섞어주세요. 쉐키쉐키', '집밥백선생 레시피에는 없는 양파. 너무 심심할꺼 같아서 양파를 채 썰어 넣어줬는데 괜찮네요.', '카레우유가 끓어오르면 면을 넣고 엉킴이 풀릴때까지 가만히 내둬요.  차가운 상태에서 풀려고 하면 면이 뚝뚝 끊긴답니다.  해동이 되면 면을 살살 풀어주세요.', '파슬리가루(생략 가능) 솔솔 뿌려주면 벌써 끝이에요.ㅎㅎ'",퓨전,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/16/766236e3bf456d5c929273ddcfd480271.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/16/05c01995332944551eb459127d8417901.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/16/175d4508b7f595b6763412de85a178911.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/16/fda53f7c0cc36496e3912d6ceaaa81361.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/07/16/b2f63acce6eb0a04505c8e70e399d08b1.jpg'"
68,집에서도 고급진 스페인요리 감바스로 !,-,-,"새우, 밀, 우유, 달걀",2017-07-05T10:59:57+09:00,"올리브유 150ml,칵테일새우 적당량,통마늘 10개,페퍼론치노 6개,후추 2꼬집,소급 1꼬집,파슬리 2꼬집,바게트빵 적당량","'★밑간하기 새우에 소금과 후추로 밑간을 한다.', '★재료 손질하기 마늘과 양송이버섯을 손질한다.', '★바게트 굽기 준비한 바게트 빵을 겉이 바삭하게 살짝 굽는다.', '★올리브유에 졸이기 중약불에서 올리브유를 가열한 뒤 마늘을 넣어주고 마늘이 익을 때쯤 버섯을 넣어준다.', '★마지막 간하기 & 마무리 마지막으로 새우를 넣어 익혀주고 후추와, 허브, 파슬리를 넣고 마무리한다.'",양식,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/d918a6ee17f9d5f19687cc9b00465b301.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/899cc11d1e7640ca66c8c37599dd34f41.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/039075d2d46b73ea9323a74b607146f41.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/2844511a328c1f3d55155bedc77ae0851.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/05/99384fd4d38945f59dff358c91d5e0cb1.png'"
69,홈파티로 끝내주는 라자냐 만들기,-,-,"소고기(쇠고기), 밀, 달걀, 토마토, 우유",2020-12-08T16:10:56+09:00,"라자냐면 3장,소고기 120g,양파 다진것 1/4개,다진마늘 1큰술,토마토소스 1.5컵,소금 소량,후추 소량,치즈 200g,파마산치즈 선택재료,물 면삶을용,소금 1큰술,오일,물 100ml","'면 삶을 물에 소금을 넣고 라자냐 면을 10분 간 삶아줍니다', '소고기는 다짐육으로 준비하시면 좋고요. 파프리카는 기호에 맞게 썰어주세요.', '팬에 오일을 두르고 소고기를 볶아줍니다. 덩어리지지않게 잘 부셔서 섞어주시고요, 소금 후추 간을 살짝 해주세요', '소고기의 수분을 모두 날리게 볶아준 다음 양파와 마늘을 넣어서 볶아주세요', '토마토소스를 넣어주시고요', '파프리카와 물 100ml를 넣어서 뭉근하게 끓여주세요. 약불에서 15분정도 끓여주시면 됩니다. 소스는 되직하게 끓여주는게 좋아요.', '오븐사용(에프가능)가능한 용기에 면-소스-치즈순서를 반복해서 쌓아주시고요, 마지막에는 파마산치즈를 올려주시면 더 맛나요. 200℃ 20분정도 구워주세요(기기성능차이있을수 있어요)', '맛있게 구워졌어요!'",양식,소고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/b01a9aabb994601dd411a41a5010cf0a1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/51b3d613357bf816a607752ca0bb07951.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/56313b3f3ec79a8dde3710f69bfecab41.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/011795ff89d9d21195bff8e7870021f41.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/5417910e63d26e096a8fe739d1ff2d641.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/1a6a2c39846b651ec7175da8d587c7b51.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/6349764f145de6f8cee10deb1cc2952c1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/08/bcc3cc5dee5257bb4ec3efb27d9843b41.png'"
70,라비올리베이컨 파스타!!!,-,-,"밀, 달걀, 돼지고기, 우유",2022-07-27T16:14:11+09:00,"라비올리 2팩,베이컨 1팩,파슬리가루 약간,크림파스타소스 1병,소금 약간","'라비올리 베이컨 파스파를 소개합니다.', '라비올리는 끊는물에 소금을 약간 넣어서 5분간 삶아주세요.', '베어컨을 먹기좋은 크기로 잘라준후 크림파스타와 함께 보글보글 끊여주세요.', '삶아놓은 라비올리를 크림파스타에 함께 버무려 주세요.', '크림파스타와 라비올리가 잘 섞이도록 버무려준후', '파슬리가루를 넉넉하게 뿌려주세요.', '라비올리베이컨 파스타가 완성이 되었습니다.', '예쁜접시에 가득담아서 먹으면 꿀맛입니다.'",양식,돼지고기,"'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/aa5cd6fc1c640a61d4dbff24bbea345e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/026e3fbbdedbd73f11d5c03fc9b7d5e41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/6607922053d16b6695bfc7cc088ea7de1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/c2745201aee782376824b0a2d48a9b231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/ab862b0175694a2b8fa55172ae33f3aa1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/c1bac8e23f27efd86ee43266b81d3e6d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/acd914899a58ae0466ff35c4992dedd71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2022/07/27/dae80d1c7fb6530b6269c25659178cca1.jpg'"
71,간식타임은 이걸로 체크메이트!! 네모네모 체크쿠키♥,-,-,"우유, 밀, 달걀",2016-11-25T14:30:49+09:00,"무염버터 65g,박력분 135g,슈가파우더 60g,소금 1g,계란노른자 1개,바닐라익스트랙 2~3방울,무염버터 65g,박력분 125g,코코아파우더 10g,슈가파우더 60g,소금 1g,계란노른자 1개,바닐라익스트랙 2~3방울","'먼저 해야 할 일 버터와 계란은 미리 실온에 꺼내두기. 박력분, 코코아파우더는 미리 체쳐주기. 오븐 미리 예열하기.', '박력분과 코코아파우더를 체쳐 준비한다.', '실온에 둔 버터를 크림화한다.', '크림화한 버터에 슈가파우더와 소금을 넣는다.', '4에 계란노른자와 바닐라익스트랙을 넣는다.', '5에 체쳐둔 가루를 넣는다.', '한 덩어리로 뭉친 뒤 냉장고에서 1시간 휴지시킨다.', '기본반죽과 초코반북을 1.5cm 두께로 민다.', '초코반죽 위에 흰자를바르고 기본반죽을 얹는다.', '반죽을 1.5cm 간격으로 자른다.', '자른 반죽 위에 색이 엇갈리도록 다른 반죽을 얹는다.', '반죽을 일정 간격으로 썰어준다.', '170도로 예열한 오븐에 넣고 15분간 굽는다.'",디저트,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/f9d27239b29a07f060946dabee7421591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/3ee1f86d330453343c4bb06c86679cd01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/533a3bcbd9ce1b900af8cb788d9f307c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/7b6e1d7b0cc516d1afa2236987b124391.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/fc0a31d3eba2771fec04eb1415347a941.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/fe4c12559a1b4a1b203177dd2da8e13e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/f8f0f1c0bfa9d4e184e28db137ef1e821.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/b164c5ecd52673f7a45d38a2d79e13b11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/0c5a8c7f8a6e9e23cf567f6a04147f8f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/8f53fa85aad4b5126e7ca636268063d51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/8a93fb1b63cbaa623a74c7d72a0f42961.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/ba0a95d7b8bb26c28cd646a6cda9a1a81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/25/0465ccf9f568eef58e1591f02afbdb3b1.jpg'"
72,남은 생크림으로 수제 무염 버터 만들기,-,-,우유,2021-11-16T23:05:55+09:00,생크림,"'생크림 양은 원하는 대로 하시는 될 거 같아요. 정해진 건 없어요. 휘핑할 용기에 생크림을 부어 주세요.', '휘핑기로 한참 휘핑하다 보면 부피가 두어 배 커지면서 이렇게 생크림이 만들어진답니다. 빵에 발라 먹는 그 생크림이요. 이렇게 만들어 먹길 원하신다면 설탕을 넣고 휘핑을 해 주시면 돼요. 휘핑크림은 단맛이 있는데요. 생크림은 단맛이 없답니다. 이렇게 생크림 상태에서 계속 더 휘핑을 해 주세요.', '계속 휘핑해 주다 보면 부풀었던 부피가 확 줄어들면서 수분이 생기고 버터 덩어리가 생기기 시작해요.', '이렇게요.  버터와 버터밀크로 분리가 될 거예요.', '체반 위에 면보를 깔고 휘핑 한 생크림을 부어 주세요. 버터와 버터밀크를 분리합니다.', '물기가 남지 않게 꼭 짜 주세요.', '버터가 들어갈 만한 용기에 유산지를 깔거나 랩을 씌워 용기 안에 넣고 꼭꼭 눌러 모양을 잡아 주세요.', '이렇게 만들어진 버터는 잠시 냉장고에 넣어서 굳혀 주세요.', '버터밀크는 베이킹을 할 때 사용하셔도 된답니다. 우유가 들어가는 베이킹에 우유 대신 넣어서 사용하시면 돼요.', '한 시간 정도 후에 꺼내 보면 잘 굳어 있을 거예요', '한 번에 사용할 수 있는 양으로 잘라 냉동실에 보관합니다. 무염버터라 짠 기가 없어요. 소금기가 있어야 한다면 소금을 추가해 사용하시면 되겠죠?'",양념/소스/잼,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/69054b54308413aa7bbdf584906096881.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/4c34d800a9914648b519a09957e85fed1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/324638aed8d00349777452fcf6bad0131.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/0c6af4f4b6eb836a1d6da9c8dea3d49a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/e79876b76df37eeed7cc15ee64c1df271.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/819cd78eafe0984c918e75cb7e66c5791.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/4bce11313af1114988fb0960f791c2881.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/4984b490c5af89f0c6dc8b069989098c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/1649cdfa111a57592042be9831bd24e11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/d9c3f701df097613abfc69bb0126dc6b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/11/16/ea5057e91ceecb5c3a99860b445054f81.jpg'"
73,일식새우튀김 만드는 법,-,-,"새우, 달걀, 밀",2017-03-28T14:39:24+09:00,"새우큰거 5마리,달걀 1개,차가운물 1컵,밀가루 3Ts,튀김가루 3Ts,튀김기름 적당량","'먼저 새우는 머리를 떼어내고 껍질을 꼬리만 살리고 벗겨냅니다.  이때 새우는 소금물에 해동시키셔야 좋아요.', '등쪽에 이쑤시개를 넣어 내장을 꺼내줍니다.', '그리고 꼬리쪽에 물총은 제거해주셔야 튀길때 안 튀어요.', '배쪽에 잔칼집을 세네번 넣어서 마디를 펴줍니다. 그래야 튀길때 구부러지지 않아요.', '여기에 밀가루를 살짝 입혀주세요.  이제 차가운얼음물한컵에 달걀을 풀어서 섞어주고 그 다음에 밀가루와 튀김가루를 반씩 섞어서 넣어줍니다.', '전 순서가 살짝 바뀌었어요. 이왕이면 물-달걀-밀가루순으로 넣어주세요.  그래야 농도를 잘 맞출수 있어요.', '이때 반죽은 묽게 해주세요. 섞어가면서 묽은농도(핫케이크반죽농도)로 해주시면 좋아요.  반죽을 할때 너무 휘저으시면 글루텐이 형성되서 안좋으니 살짝만 섞어주세요.  전 약간 되서 약간 두껍게 입혀졌네요!', '이제 튀김기름을 온도 160도로 맞춰서 튀김옷을 입혀서 가장자리부터 흘려들어가게 밀어넣어주세요.', '이제 바삭하게 튀겨내면 완성이에요. 이때 남은 반죽을 손끝으로 튕겨서 퍼지게 만들어주세요.', '그럼 일식새우튀김의 특유의 모양이 나온답니다.'",퓨전,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/5b3c4bc78a620854c38461699d298c351.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/5066c94b99320df1eaa631dcebdc5cb51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/a713a033fb5eb3a93dfd1f6251a1d0671.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/946e6dbe5a1af65e5476726fee18503a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/ce5169a7285b3e83389228e0b6e94e2d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/b2f0da4ee3c41c187fd712c9211b24161.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/3244f62a79044cd2d2bd36dc271c09441.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/dab68475a500477470b634265b46a3311.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/48e7bdd78509e5c902c52fc7876046a21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/28/2f05f335745c3eb1c9412292580acc081.jpg'"
74,즐거운 오감만족 스프링롤,-,-,"새우, 생선, 무, 대두 ,땅콩",2008-04-24T15:20:54+09:00,"라이스페이퍼 10~15장,깻잎(or청상추로메인) 10~15장,버미셀리(쌀국수) 2줌,껍질까서 손질한 생새우 10개,크래미(맛살) 5개,노란 파프리카 1개,빨간 파프리카 1개,치자단무지 50g,오이 1개,햄 100g,허브솔트(or소금) 약간,후추 약간,피넛버터 2큰술,간장 1큰술,요리당 1큰술,땅콩분태 약간,스위트칠리소스 적당량","'새우는 머리와 꼬리를 제거하고 껍질을 까서 허브솔트나 소금, 후추로 밑간을 해서 준비 합니다. 크래미는 두조각 또는 세조각으로 어슷썰어 준비 합니다. 오이는 5센티 정도로 잘라 돌려 깎기 한후 채썰어서 준비 합니다. 단무지와 파프리카도 5센티 정도의 길이로 적당히 채썰어서 준비 합니다. 버미셀리(쌀국수)는 끓는물에 적당히 삶아 물기를 빼서 준비 합니다.', '밑간한 새우는 끓는물에 데쳐서 반으로 잘라 준비 합니다. 큰볼에 라이스페이퍼가 잠길 정도의 뜨거운 물을 붓고 라이스 페이퍼를 담궈 익혀 줍니다. 쟁반에 라이스페이퍼를 깔고 포뜬 새우를 속살이 위로 오게 올려 줍니다.(새우대신 크래미를 올려 주어도 맛있어요)', '새우위에 깻잎이나 청상추를 올려 줍니다. 상추위에 버미셀리, 파프리카, 오이, 치자 단무지, 햄등 좋아하는 재료를 올려 양옆을 가운데로 모아 돌돌 말아 줍니다. 땅콩소스는 분량의 재료를 모두 섞어주고 입맛에 맞게 가감 합니다.', '오동통 새우와 쫄깃한 라이스피와 쌀국수 아삭한 채소가 씹히는 모양도 이쁘고 맛도 좋고, 오감만족 스프링롤 완성. 스위트 칠리소스나 땅콩소스에 콕 찍어 먹으면 너무 맛있어요. 스프링롤은 시간이 지나도 피가 쫄깃하니 맛있어서 도시락 메뉴로도 안성맞춤인것 같아요.'",퓨전,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/a4490e6dbe8010f1d168c972b02015701.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/d6cf7bb9a26d6b9ee39fb5b24eb580231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/905dcfc277c0f6454f8240b65c35cfd01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/5cd76ee8b55c715ca1f1beef355e98241.jpg'"
75,골뱅이 에스까르고 ,-,-,"조개류, 우유, 대두",2012-06-15T16:04:22+09:00,"골뱅이 230g,숙주 180g,부추 100g,통마늘 10개,버터 15g,양조간장 1T,양조식초 1T,설탕 1/2T,후추 약간,포도씨오일 1/2T,소금 약간","'분량의 골뱅이와 마늘을 준비 합니다.', '부추와 숙주도 준비', '숙주는 끓는 물에 살짝 데쳐서 식혀 준비해 줍니다. 너무 많이 삶지는 마세요', '부추는 3센티 길이로 썰어 준비합니다.', '야채 준비 완료', '통마늘은 끓는물에 살짝 데쳐서 준비해 주세요 중간 정도만 익히시면 되요', '무침소스 준비해 주세요', '달군 후라이팬에 분량의 버터를 넣고 마늘을 넣고 고소하게 볶아 줍니다.', '노릇노릇해지면', '골뱅이를 넣고 노릇하게 볶아 줍니다.', '볼에 숙주와 부추를 넣고 분량의 소스를 넣고 살살 버무려 줍니다.', '그런 다음 접시에 담아 주세요~ 위에 볶아낸 골뱅이와 마늘을 올리면 완성'",양식,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/adc2055bb24c3acb8509bed57bc278c51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/17560ac5db1f608893c603f43bdbab3d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/f2265e5a9c5bc984e0b558773de099a91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/37b308d4f77685f39419ffffc3b18ba21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/f7e21543d49782c9b024e68bc63940d11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/d68a6222e237c9ac684b510aea4aa3d91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/2d61112d8e5262eaffbd93bd03e5f5251.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/502facdfebe7a5e4b6bb2a35ae8874851.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/11eae40d2a3df98d1a0837b203a78dc51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/605e3291735ca76764de40901170e1051.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/a8beced1d721de41c6e760745f5537761.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/3d727e8ea0406346bcebdfa1c149ceab1.jpg'"
76,팔에 모터달고 젓가락질 해야돼!! 양념 꼬막찜★,-,-,"조개류, 대두",2016-11-04T15:28:20+09:00,"꼬막 800g,굵은소금 1/4cup,청주 2T,간장 3T,고춧가루 1T,설탕 1/2T,다진 마늘 1/2T,다진 대파 1T,참기름 1/2T,부순 참깨 1/2T,다진 청양고추 1T","'꼬막은 소금 1/4cup을 넣고 검은 봉지를 씌우거나 쿠킹 호일로 감싸 약 30분 이상 해감 한다.', '해감 한 꼬막은 깨끗한 물에 비벼가며 씻는다.', '볼에 분량의 양념재료를 넣고 양념장을 만든다.', '끓는 물에 깨끗이 손질한 꼬막을 넣고 청주 2T를 넣어 한쪽 방향으로 저어 가며 꼬막이 입을 벌리기 시작 하면 바로 불을 끄고 체에 건져 놓는다.', '잘 익은 꼬막은 뚜껑만 떼어 준비한다.', '뚜껑을 딴 꼬막에 양념장을 조금씩 올려 완성한다.'",메인반찬,해물류,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/0f04907df39f342441f35d0d5267046e1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/66edd798b7136a8e68212cc3a9576f8b1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/6e5d00539de2d726e62580be18474d8b1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/babbc6f0575151bcd9487a45ed5cce961.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/e1d665b100d5d5ff90eb3742dfdaf7e31.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/04/4c338a80c889abb635f610f9153a96031.png'"
